####,,,,,,,,,,,
##################,,"India Pollution levels, State wise, 2014-2015",,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stn_code,sampling_date,State_location,agency,type,p_value,so2,no2,pm2_rspm,location_monitoring_station,date,Year
796,27-02-15,"Madhya Pradesh,Bhopal",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,na,27,"pm2 174,rspm 174","Kolar Thana, Kolar Road, Bhopal",2/27/2015 0:00,2015
476,20-10-15,"West Bengal,Kolkata",West Bengal State Pollution Control Board,Industrial Area,,na,93,"pm2 114,rspm 225","Behala Chowrasta,Kolkata",10/20/2015 0:00,2015
475,10/11/2015,"West Bengal,Kolkata",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,na,68,"pm2 137,rspm 177","Minto Park, Kolkata",11/10/2015 0:00,2015
473,22-10-15,"West Bengal,Kolkata",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,na,94,"pm2 97,rspm 205","Moulali, Kolkata",10/22/2015 0:00,2015
58,12/11/2015,"Delhi,Delhi",Central Pollution Control Board,Industrial Area,,na,59,"pm2 262,rspm 281","Shahadra, Delhi",11/12/2015 0:00,2015
58,15-01-15,"Delhi,Delhi",Central Pollution Control Board,Industrial Area,,na,59,"pm2 152,rspm 266","Shahadra, Delhi",1/15/2015 0:00,2015
334,23-02-15,"Gujarat,Vadodara",Gujarat State Pollution Control Board,Industrial Area,,na,23,"pm2 36,rspm 89","CETP Nandesari, Vadodara",2/23/2015 0:00,2015
531,9/11/2015,"Delhi,Delhi",Central Pollution Control Board,"Residential, Rural and other Areas",,90,140,"pm2 197,rspm 334","Pritampura, Delhi",11/9/2015 0:00,2015
11,11/11/2015,"West Bengal,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",,84,125,"pm2 303,rspm 389","Bator, Howrah",11/11/2015 0:00,2015
11,10/11/2015,"Bihar,Howrah",West Bengal State Pollution Control Board,"Residential, Rural and other Areas",612%,63,90,"pm2 182,rspm 248","Bator, Howrah",11/10/2015 0:00,2015
84,27-06-15,"Chhattisgarh,Nagda",Madhya Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,56,27,"pm2 42,rspm 51","B C I Labour Club, Nagda",6/27/2015 0:00,2015
82,3/9/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,40,21,"pm2 29,rspm 53","Chemical Division Labour Club, Nagda",9/3/2015 0:00,2015
82,17-09-15,"Jharkhand,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,39,18,"pm2 24.8,rspm 47","Chemical Division Labour Club, Nagda",9/17/2015 0:00,2015
82,15-10-15,"Karnataka,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,38,20,"pm2 32,rspm 55","Chemical Division Labour Club, Nagda",10/15/2015 0:00,2015
692,11/11/2015,"Odisha,Paradeep",Odisha State Pollution Control Board,"Residential, Rural and other Areas",,37,24,"pm2 122,rspm 306",Over the Guest House of M/s PPL,11/11/2015 0:00,2015
82,12/11/2015,"Maharashtra,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,37,20,"pm2 50,rspm 59","Chemical Division Labour Club, Nagda",11/12/2015 0:00,2015
82,1/10/2015,"Manipur,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,35,23,"pm2 29,rspm 55","Chemical Division Labour Club, Nagda",10/1/2015 0:00,2015
82,19-10-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,35,22,"pm2 33.5,rspm 57","Chemical Division Labour Club, Nagda",10/19/2015 0:00,2015
82,10/9/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,35,18,"pm2 32.8,rspm 54","Chemical Division Labour Club, Nagda",9/10/2015 0:00,2015
82,8/10/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,34,17,"pm2 38,rspm 50","Chemical Division Labour Club, Nagda",10/8/2015 0:00,2015
82,2/7/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,33,20,"pm2 38,rspm 59","Chemical Division Labour Club, Nagda",7/2/2015 0:00,2015
82,10/12/2015,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,33,19,"pm2 41,rspm 54","Chemical Division Labour Club, Nagda",12/10/2015 0:00,2015
82,17-12-15,"Manipur,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,33,18,"pm2 38,rspm 55","Chemical Division Labour Club, Nagda",12/17/2015 0:00,2015
82,26-11-15,"Madhya Pradesh,Nagda",Madhya Pradesh State Pollution Control Board,Industrial Area,,33,15,"pm2 38,rspm 46","Chemical Division Labour Club, Nagda",11/26/2015 0:00,2015
